"id","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","cond","fog","rain","snow","hail","thunder","tornado"
"1",2016-07-01 00:00:00,12,2,38,27.8,NA,"NNW",25,1014,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"2",2016-07-01 00:00:00,12,2,51,27.8,NA,"NNW",NA,1013,NA,NA,NA,"Clear",0,0,0,0,0,0
"3",2016-07-01 00:30:00,12,2,51,31.5,NA,"NNW",NA,1013,NA,NA,NA,"Clear",0,0,0,0,0,0
"4",2016-07-01 01:00:00,12,2,41,31.5,NA,"NNW",NA,1013,NA,NA,NA,"",0,0,0,0,0,0
"5",2016-07-01 01:00:00,12,2,51,31.5,NA,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"6",2016-07-01 01:30:00,13,2,47,29.6,NA,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"7",2016-07-01 01:36:00,13,2,47,27.8,48.2,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"8",2016-07-01 02:00:00,13,3,39,37,NA,"NNW",NA,1013,NA,NA,NA,"",0,0,0,0,0,0
"9",2016-07-01 02:00:00,13,3,51,37,55.6,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"10",2016-07-01 02:30:00,12,3,54,25.9,NA,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"11",2016-07-01 03:00:00,12,3,45,24.1,NA,"North",25,1012,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"12",2016-07-01 03:00:00,12,3,54,24.1,NA,"North",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"13",2016-07-01 03:30:00,12,3,54,18.5,NA,"NNW",NA,1012,NA,NA,NA,"Clear",0,0,0,0,0,0
"14",2016-07-01 04:00:00,11,4,49,27.8,NA,"WSW",NA,1014,NA,NA,NA,"",0,0,0,0,0,0
"15",2016-07-01 04:00:00,11,4,62,27.8,NA,"WSW",NA,1013,NA,NA,NA,"Clear",0,0,0,0,0,0
"16",2016-07-01 04:30:00,11,4,62,16.7,NA,"WNW",NA,1013,NA,NA,NA,"Clear",0,0,0,0,0,0
"17",2016-07-01 05:00:00,10,4,53,14.8,NA,"West",NA,1013,NA,NA,NA,"",0,0,0,0,0,0
"18",2016-07-01 05:00:00,10,4,66,14.8,NA,"West",NA,1013,NA,NA,NA,"Clear",0,0,0,0,0,0
"19",2016-07-01 05:30:00,10,4,66,20.4,NA,"WSW",NA,1014,NA,NA,NA,"Clear",0,0,0,0,0,0
"20",2016-07-01 06:00:00,10,3,52,16.7,NA,"WSW",30,1014,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"21",2016-07-01 06:00:00,10,3,62,16.7,NA,"WSW",10,1014,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"22",2016-07-01 06:30:00,10,3,62,13,NA,"West",10,1014,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"23",2016-07-01 07:00:00,10,2,44,16.7,NA,"NW",NA,1015,NA,NA,NA,"",0,0,0,0,0,0
"24",2016-07-01 07:00:00,10,2,58,16.7,NA,"NW",10,1014,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"25",2016-07-01 07:30:00,9,3,66,18.5,NA,"West",10,1015,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"26",2016-07-01 08:00:00,9,3,54,14.8,NA,"WSW",NA,1016,NA,NA,NA,"",0,0,0,0,0,0
"27",2016-07-01 08:00:00,9,3,66,14.8,NA,"WSW",10,1015,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"28",2016-07-01 08:30:00,11,3,58,11.1,NA,"WNW",10,1015,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"29",2016-07-01 09:00:00,11,2,40,14.8,NA,"NNW",30,1016,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"30",2016-07-01 09:00:00,11,2,54,14.8,NA,"NNW",10,1015,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"31",2016-07-01 09:30:00,13,0,41,16.7,NA,"NW",10,1015,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"32",2016-07-01 10:00:00,14,0,25,27.8,NA,"WNW",NA,1016,NA,NA,NA,"",0,0,0,0,0,0
"33",2016-07-01 10:00:00,14,-1,36,27.8,NA,"WNW",10,1015,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"34",2016-07-01 10:30:00,14,1,41,22.2,NA,"West",10,1016,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"35",2016-07-01 11:00:00,15,1,27,29.6,NA,"West",NA,1016,NA,NA,NA,"",0,0,0,0,0,0
"36",2016-07-01 11:00:00,15,1,39,29.6,NA,"West",10,1015,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"37",2016-07-01 11:35:00,15,1,39,27.8,46.3,"West",10,1015,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"38",2016-07-01 12:00:00,15,1,26,31.5,NA,"West",30,1016,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"39",2016-07-01 12:00:00,15,1,39,31.5,NA,"West",10,1015,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"40",2016-07-01 12:30:00,15,2,42,35.2,NA,"WSW",10,1015,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"41",2016-07-01 13:00:00,15,1,24,35.2,NA,"West",NA,1016,NA,NA,NA,"",0,0,0,0,0,0
"42",2016-07-01 13:00:00,15,1,39,35.2,NA,"West",NA,1015,NA,NA,NA,"Clear",0,0,0,0,0,0
"43",2016-07-01 13:30:00,16,1,36,29.6,NA,"WSW",NA,1015,NA,NA,NA,"Clear",0,0,0,0,0,0
"44",2016-07-01 13:40:00,15,0,36,27.8,48.2,"WSW",NA,1015,NA,NA,NA,"Clear",0,0,0,0,0,0
"45",2016-07-01 14:00:00,16,0,24,24.1,NA,"West",NA,1016,NA,NA,NA,"",0,0,0,0,0,0
"46",2016-07-01 14:00:00,16,0,34,24.1,42.6,"West",NA,1015,NA,NA,NA,"Clear",0,0,0,0,0,0
"47",2016-07-01 14:30:00,16,-1,31,24.1,NA,"West",NA,1016,NA,NA,NA,"Clear",0,0,0,0,0,0
"48",2016-07-01 15:00:00,16,2,27,27.8,NA,"WSW",30,1016,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"49",2016-07-01 15:00:00,16,2,39,27.8,NA,"WSW",NA,1016,NA,NA,NA,"Clear",0,0,0,0,0,0
"50",2016-07-01 15:30:00,16,0,34,24.1,NA,"WSW",NA,1016,NA,NA,NA,"Clear",0,0,0,0,0,0
"51",2016-07-01 16:00:00,16,0,24,20.4,NA,"West",NA,1017,NA,NA,NA,"",0,0,0,0,0,0
"52",2016-07-01 16:00:00,16,0,34,20.4,NA,"West",NA,1016,NA,NA,NA,"Clear",0,0,0,0,0,0
"53",2016-07-01 16:30:00,15,1,39,22.2,NA,"West",NA,1017,NA,NA,NA,"Clear",0,0,0,0,0,0
"54",2016-07-01 17:00:00,14,1,28,16.7,NA,"WSW",NA,1018,NA,NA,NA,"",0,0,0,0,0,0
"55",2016-07-01 17:00:00,15,1,39,16.7,NA,"WSW",NA,1017,NA,NA,NA,"Clear",0,0,0,0,0,0
"56",2016-07-01 17:30:00,14,1,41,20.4,NA,"West",NA,1018,NA,NA,NA,"Clear",0,0,0,0,0,0
"57",2016-07-01 18:00:00,13,2,32,22.2,NA,"West",30,1019,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
