"FID","OBJECTID","bcsrgrp","bcsrcat","lganame","locsurb","locprmc1","locpcode","bcsrgclat","bcsrgclng","bcsrgccde","incyear","incmonth","incday","incsttm","eventyr","eventmth","poisex","poi_age","uniqueID","Time","DayNight","WeekDayEnd"
98,122,"Assault","Non-domestic violence related assault","Sydney","NEWTOWN","OUTDOOR/PUBLIC PLACE",2042,-33.89348,151.18352,"Intersect",2013,"January","Saturday","23:20",2013,"January","M",35.8350444901,50293175,2320,"Night","Weekend"
258,307,"Assault","Non-domestic violence related assault","Sydney","CAMPERDOWN","OUTDOOR/PUBLIC PLACE",2050,-33.886476,151.178234,"Street",2013,"February","Wednesday","20:45",2013,"February"," ",0.0,50684577,2045,"Night","Weekday"
285,340,"Assault","Non-domestic violence related assault","Sydney","CAMPERDOWN","OUTDOOR/PUBLIC PLACE",2050,-33.886476,151.178234,"Street",2013,"February","Monday","19:28",2013,"February"," ",0.0,50615156,1928,"Night","Weekday"
338,402,"Assault","Non-domestic violence related assault","Sydney","ERSKINEVILLE","OUTDOOR/PUBLIC PLACE",2043,-33.900075,151.18613,"Street",2013,"March","Friday","21:45",2013,"March"," ",0.0,49809187,2145,"Night","Weekday"
408,482,"Assault","Non-domestic violence related assault","Sydney","ERSKINEVILLE","OUTDOOR/PUBLIC PLACE",2043,-33.901382,151.188534,"Street",2013,"March","Saturday","13:00",2013,"March"," ",0.0,50987104,1300,"Day","Weekend"
410,484,"Assault","Non-domestic violence related assault","Sydney","ERSKINEVILLE","OUTDOOR/PUBLIC PLACE",2043,-33.901382,151.188534,"Street",2013,"March","Saturday","12:30",2013,"March"," ",0.0,49866745,1230,"Day","Weekend"
477,557,"Robbery","Robbery without a weapon","Sydney","ERSKINEVILLE","OUTDOOR/PUBLIC PLACE",2043,-33.898732,151.184328,"Street",2013,"January","Friday","0:25",2013,"January","M",19.0848733744,49281910,25,"Night","Weekday"
481,561,"Robbery","Robbery without a weapon","Sydney","ERSKINEVILLE","OUTDOOR/PUBLIC PLACE",2043,-33.90223,151.18619,"Postcode",2013,"January","Sunday","4:30",2013,"January"," ",0.0,49644994,430,"Night","Weekend"
547,629,"Robbery","Robbery without a weapon","Sydney","NEWTOWN","OUTDOOR/PUBLIC PLACE",2042,-33.89242,151.18694,"Intersect",2013,"March","Wednesday","1:45",2013,"March"," ",0.0,50723773,145,"Night","Weekday"
550,632,"Robbery","Robbery without a weapon","Sydney","NEWTOWN","OUTDOOR/PUBLIC PLACE",2042,-33.895475,151.184855,"Street",2013,"March","Friday","23:15",2013,"March"," ",0.0,50842008,2315,"Night","Weekday"
562,645,"Robbery","Robbery with a weapon not a firearm","Sydney","NEWTOWN","OUTDOOR/PUBLIC PLACE",2042,-33.896605,151.180676,"Address",2013,"March","Saturday","21:00",2013,"March"," ",0.0,51311538,2100,"Night","Weekend"
565,648,"Robbery","Robbery without a weapon","Sydney","CAMPERDOWN","OUTDOOR/PUBLIC PLACE",2006,-33.88608356,151.1929893,"Landmark",2013,"March","Saturday","1:50",2013,"March"," ",0.0,50996577,150,"Night","Weekend"
577,661,"Robbery","Robbery without a weapon","Sydney","CAMPERDOWN","OUTDOOR/PUBLIC PLACE",2006,-33.88727,151.193474,"Street",2013,"March","Sunday","1:00",2013,"March"," ",0.0,51733388,100,"Night","Weekend"
