"Col0","IsSuccess","Data.AssetNo","Data.lat","Data.lng","Data.Status","Data.WebID","Message"
1,"TRUE","LE99901",-33.896574,151.179167,"working",40,""
2,"TRUE","LE25270",-33.9081518,151.1759327,"working",41,""
3,"TRUE","LE25274",-33.9072903,151.179101,"working",42,""
4,"TRUE","LE18175",-33.8987791,151.1713689,"working",5780,""
5,"TRUE","LE18174",-33.8988945,151.1712669,"working",5785,""
6,"TRUE","LE25956",-33.899059,151.171491,"working",5802,""
7,"TRUE","LE24933",-33.8995796,151.1709861,"working",5848,""
8,"TRUE","LE07701",-33.8934609,151.1721408,"working",7196,""
9,"TRUE","LE07703",-33.893719,151.1720915,"working",7201,""
10,"TRUE","LE18048",-33.8941144,151.1722576,"working",7211,""
11,"TRUE","LE18052",-33.8942025,151.1729521,"working",7219,""
12,"TRUE","LE18032",-33.894851,151.1720865,"working",7226,""
13,"TRUE","LE18020",-33.8948856,151.1724592,"working",7232,""
14,"TRUE","LE18019",-33.8949154,151.1727073,"working",7237,""
15,"TRUE","LE18017",-33.8949648,151.1731207,"working",7245,""
16,"TRUE","LE17487",-33.8951509,151.1720438,"working",7253,""
17,"TRUE","LE18043",-33.8951528,151.1715355,"working",7259,""
18,"TRUE","LE17468",-33.8953431,151.1718696,"working",7265,""
19,"TRUE","LE17469",-33.8954324,151.1722117,"working",7274,""
20,"TRUE","LE17470",-33.895546,151.172485,"working",7282,""
21,"TRUE","LE17472",-33.8959346,151.1732093,"working",7300,""
22,"TRUE","LE17473",-33.8960493,151.1733959,"working",7305,""
23,"TRUE","LE17474",-33.8962291,151.1736671,"working",7311,""
24,"TRUE","LE18016",-33.8950066,151.1735079,"working",7324,""
25,"TRUE","LE17414",-33.8950654,151.1739046,"working",7329,""
26,"TRUE","LE17483",-33.8951779,151.1731406,"working",7336,""
27,"TRUE","LE17482",-33.8954577,151.1732589,"working",7342,""
28,"TRUE","LE17481",-33.8956431,151.1733436,"working",7349,""
29,"TRUE","LE17480",-33.8958755,151.1734397,"working",7352,""
30,"TRUE","LE17422",-33.8961535,151.1743783,"working",7357,""
31,"TRUE","LE17418",-33.8962089,151.1741984,"working",7361,""
32,"TRUE","LE17475",-33.8962531,151.1736472,"working",7366,""
33,"TRUE","LE17476",-33.8963269,151.1738123,"working",7370,""
34,"TRUE","LE17477",-33.8964493,151.1740096,"working",7374,""
35,"TRUE","LE17424",-33.8965113,151.1745276,"working",7380,""
36,"TRUE","LE17478",-33.8965974,151.1742513,"working",7385,""
37,"TRUE","LE07860",-33.8946147,151.1709794,"working",7392,""
38,"TRUE","LE07857",-33.8946533,151.1713497,"working",7395,""
39,"TRUE","LE07858",-33.8947513,151.1711894,"working",7403,""
40,"TRUE","LE18047",-33.8940032,151.1720388,"working",7410,""
41,"TRUE","LE18046",-33.8943531,151.1719715,"working",7419,""
42,"TRUE","LE18042",-33.8947165,151.1719098,"working",7437,""
43,"TRUE","LE18041",-33.8947913,151.171596,"working",7442,""
44,"TRUE","LE17105",-33.891518,151.1761005,"working",9205,""
45,"TRUE","LE17102",-33.8917373,151.1766728,"working",9218,""
46,"TRUE","LE17109",-33.8918292,151.1763181,"working",9229,""
47,"TRUE","LE17284",-33.8919429,151.1772734,"working",9234,""
48,"TRUE","LE17101",-33.8919613,151.1767372,"working",9242,""
49,"TRUE","LE17111",-33.8921087,151.1764424,"working",9253,""
50,"TRUE","LE17285",-33.8922454,151.1774055,"working",9259,""
51,"TRUE","LE17300",-33.8922708,151.1768714,"working",9265,""
52,"TRUE","LE17113",-33.8923605,151.176553,"working",9279,""
53,"TRUE","LE17287",-33.8925157,151.1775238,"working",9298,""
54,"TRUE","LE17299",-33.8926267,151.1770258,"working",9303,""
55,"TRUE","LE17288",-33.8927414,151.1776224,"working",9306,""
56,"TRUE","LE17298",-33.8929925,151.1771843,"working",9311,""
57,"TRUE","LE30718",-33.9042864,151.1754271,"working",9318,""
58,"TRUE","LE30710",-33.9045662,151.1751212,"working",9322,""
59,"TRUE","LE30711",-33.904876,151.1752905,"working",9329,""
60,"TRUE","LE30713",-33.9050316,151.1753653,"working",9337,""
61,"TRUE","LE30782",-33.904568,151.176722,"working",9345,""
62,"TRUE","LE30784",-33.904734,151.1762952,"working",9351,""
63,"TRUE","LE30786",-33.9051909,151.1765195,"working",9363,""
64,"TRUE","LE25823",-33.9052909,151.1754909,"working",9370,""
65,"TRUE","LE25642",-33.9053703,151.1759905,"working",9379,""
66,"TRUE","LE25643",-33.9054742,151.1756814,"working",9385,""
67,"TRUE","LE25640",-33.9054821,151.1766464,"working",9390,""
68,"TRUE","LE25638",-33.9057524,151.1767774,"working",9400,""
69,"TRUE","LE25637",-33.9059462,151.1768713,"working",9408,""
70,"TRUE","LE25481",-33.903087,151.1754672,"working",9434,""
71,"TRUE","LE30766",-33.9029855,151.1757513,"working",9443,""
72,"TRUE","LE30765",-33.9032522,151.175534,"working",9449,""
73,"TRUE","LE30763",-33.9035668,151.1756379,"working",9458,""
74,"TRUE","LE30760",-33.9040456,151.1758761,"working",9467,""
75,"TRUE","LE35190",-33.8945248,151.1806046,"working",10082,""
76,"TRUE","LE35201",-33.8946643,151.1810735,"working",10083,""
77,"TRUE","LE35189",-33.8947737,151.1807105,"working",10085,""
78,"TRUE","LE35188",-33.8949495,151.180788,"working",10089,""
79,"TRUE","LE30796",-33.9046391,151.1788626,"working",10286,""
80,"TRUE","LE30797",-33.9044765,151.1793439,"working",10293,""
81,"TRUE","LE30771",-33.9024819,151.1762033,"working",10310,""
82,"TRUE","LE30794",-33.9049445,151.1779583,"working",10330,""
83,"TRUE","LE35200",-33.8948482,151.1815073,"working",10648,""
84,"TRUE","LE35143",-33.8943247,151.1832153,"working",10653,""
85,"TRUE","LE35145",-33.8944834,151.1830365,"working",10655,""
86,"TRUE","LE35146",-33.8946402,151.1828565,"working",10658,""
87,"TRUE","LE35148",-33.8949765,151.1830033,"working",10659,""
88,"TRUE","LE34507",-33.896127,151.1825602,"working",10664,""
89,"TRUE","LE34506",-33.8962668,151.1821267,"working",10668,""
90,"TRUE","LE34505",-33.8963286,151.1819236,"working",10671,""
91,"TRUE","LE34504",-33.8964174,151.1816295,"working",10675,""
92,"TRUE","LE34503",-33.8965253,151.1812774,"working",10678,""
93,"TRUE","LE34501",-33.8966516,151.1808599,"working",10682,""
94,"TRUE","LE34500",-33.8967492,151.1805189,"working",10686,""
95,"TRUE","LE34494",-33.8971167,151.1807649,"working",10693,""
96,"TRUE","LE34472",-33.8969628,151.1805388,"working",10698,""
97,"TRUE","LE34467",-33.8973047,151.1808216,"working",10704,""
98,"TRUE","LE34465",-33.8975064,151.1810237,"working",10710,""
99,"TRUE","LE34431",-33.8982492,151.1811881,"working",10713,""
100,"TRUE","LE35109",-33.8956421,151.1821619,"working",10718,""
101,"TRUE","LE35116",-33.8957962,151.1816719,"working",10723,""
102,"TRUE","LE35118",-33.8959719,151.1817981,"working",10725,""
103,"TRUE","LE35115",-33.8960658,151.1814817,"working",10728,""
104,"TRUE","LE35114",-33.8961385,151.1812672,"working",10731,""
105,"TRUE","LE35113",-33.8962792,151.1809885,"working",10738,""
106,"TRUE","LE35112",-33.8963999,151.1807496,"working",10741,""
107,"TRUE","LE34848",-33.900458,151.1856915,"working",11614,""
108,"TRUE","LE34847",-33.9007918,151.1855979,"working",11619,""
109,"TRUE","LE34887",-33.9009229,151.1865333,"working",11624,""
110,"TRUE","LE34846",-33.9011514,151.185497,"working",11627,""
111,"TRUE","LE34888",-33.9011786,151.1864649,"working",11633,""
112,"TRUE","LE34844",-33.9015019,151.1853986,"working",11647,""
113,"TRUE","LE34890",-33.9015582,151.1863633,"working",11654,""
114,"TRUE","LE34892",-33.9018308,151.1862904,"working",11661,""
