"Name","Type","address","suburb","State","zipcode","latitude","longitude"
"Thanh Binh Restaurant","Restaurants","111 King St"," Newtown","NSW",2042,-33.892867,151.184312
"Darley Street Bistro","Restaurants","597 King St"," Newtown","NSW",2042,-33.905846,151.180727
"Shanaay Indian Restaurant","Restaurants","Shop 6/ 503 King St"," Newtown","NSW",2042,-33.90273,151.179095
"Happy Chef Chinese Restaurant","Restaurants","266 King St"," Newtown","NSW",2042,-33.896096,151.181094
"River Kwai","Restaurants","234 King St"," Newtown","NSW",2042,-33.895539,151.181754
"Vanguard Jazz & Blues Restaurant","Restaurants","42 King St"," Newtown","NSW",2042,-33.892843,151.186357
"Three Mangoes Thai","Restaurants","95 Enmore Rd"," Newtown","NSW",2042,-33.898515,151.174437
"Erskineville Hotel","Hotels-Pubs","102 Erskineville Rd"," Erskineville","NSW",2043,-33.899093,151.183435
"Duke Of Edinburgh Hotel","Hotels-Pubs","148 Enmore Rd"," Enmore","NSW",2042,-33.899075,151.173505
"Carlisle Castle Hotel","Hotels-Pubs","Cnr Albermarle & Probert St"," Newtown","NSW",2042,-33.895522,151.176341
"Sandringham Hotel","Hotels-Pubs","387 King St"," Newtown","NSW",2042,-33.899589,151.177602
"Marlborough Hotel","Bars","145 King St"," Newtown","NSW",2042,-33.893278,151.183189
"Young Henrys","Bars","76 Wilford St"," Newtown","NSW",2042,-33.898107,151.174359
"The Midnight Special","Bars","44 Enmore Rd"," Newtown","NSW",2042,-33.898648,151.176712
"Argie Bar Gee","Bars","377 King St"," Newtown","NSW",2042,-33.899182,151.177582
"The Green Room","Bars","156 Enmore Rd"," Enmore","NSW",2042,-33.899117,151.173153
"The Hive Bar","Bars","93 Erskineville Rd"," Erskineville","NSW",2043,-33.900055,151.184747
"Kelly's on King","Hotels-Pubs","285 King St"," Newtown","NSW",2042,-33.89628,151.179789
"Marlborough Hotel","Hotels-Pubs","Cnr King St & Missenden Rd 145 King St"," Newtown","NSW",2042,-33.893278,151.183189
"Cooper's Hotel","Hotels-Pubs","221 King St"," Newtown","NSW",2042,-33.895079,151.181469
"Bank Hotel","Hotels-Pubs","324 King St"," Newtown","NSW",2042,-33.897519,151.179371
"Queer Central","Nightclubs","199 Enmore Rd"," Enmore","NSW",2042,-33.899043,151.171294
"Bar Prego@The Marlborough Hotel","Restaurants","Cnr King St And Missenden Rd"," Newtown","NSW",2042,-33.893466,151.183528
"Union Hotel","Hotels-Accommodation","576 King St"," Newtown","NSW",2042,-33.903851,151.18028
"Kerasma Souvlaki Merchant.","Restaurants","Shop 2/ 324a King St"," Newtown","NSW",2042,-33.897928,151.178875
"Pasha's Turkish Restaurant","Restaurants","490 King St"," Newtown","NSW",2042,-33.901558,151.179031
"Amazon Steakhouse (Under New Management)","Restaurants","357 King St"," Newtown","NSW",2042,-33.898587,151.177658
"Tabaq Restaurant","Restaurants","508 King St"," Newtown","NSW",2042,-33.902102,151.179277
"Thai Pothong Restaurant","Restaurants","294 King St"," Newtown","NSW",2042,-33.89679,151.179841
"Thai Riffic Newtown","Restaurants","109 King St"," Newtown","NSW",2042,-33.89281,151.184499
"2042 Cafe & Deli","Restaurants","403-405 King St"," Newtown","NSW",2042,-33.899966,151.177746
"Hartsyard","Restaurants","33 Enmore Rd"," Newtown","NSW",2042,-33.898201,151.17681
"Matee Turkish Grill","Restaurants","528 King St"," Newtown","NSW",2042,-33.902541,151.179474
"Europe Grill Restaurent","Restaurants","506 King St"," Newtown","NSW",2042,-33.902026,151.179239
"The Stinking Bishops","Restaurants","Shop 5 63-71 Enmore Rd"," Newtown","NSW",2042,-33.898438,151.17557
"La Mia Pasta","Restaurants","170 King St"," Newtown","NSW",2042,-33.894142,151.183157
"Jungle Hut Restaurant","Restaurants","357 King St"," Newtown","NSW",2042,-33.898587,151.177658
"Cicciolina Italian Restaurant","Restaurants","224 King St"," Newtown","NSW",2042,-33.895369,151.181928
"Soffritto Restaurant","Restaurants","367 King St"," Newtown","NSW",2042,-33.898942,151.177542
"Rubyos Restaurant","Restaurants","20 King St"," Newtown","NSW",2042,-33.892578,151.187178
"Burger Fuel Newtown","Restaurants","Grnd Lvl/ 172 King St"," Newtown","NSW",2042,-33.894182,151.183114
"Burgerlicious","Restaurants","215 King St"," Newtown","NSW",2042,-33.894915,151.181704
"Guzman Y Gomez Mexican Taqueria","Restaurants","175 King St"," Newtown","NSW",2042,-33.894087,151.182524
"Kingfish Bistro","Restaurants","Shop 6/ 503 King St"," Newtown","NSW",2042,-33.90273,151.179095
"42 Fortytwo","Restaurants","134a Enmore Rd"," Newtown","NSW",2042,-33.899065,151.173837
"Sabbaba","Restaurants","148 King St"," Newtown","NSW",2042,-33.893784,151.183567
"Chedi Thai Restaurant","Restaurants","74 King St"," Newtown","NSW",2042,-33.893089,151.185535
"Ottoman Turkish Cusine","Restaurants","73 Enmore Rd"," Newtown","NSW",2042,-33.89847,151.175158
"Kai On King","Restaurants","129 King St"," Newtown","NSW",2042,-33.893014,151.183772
"Jean Rice Architect","Restaurants","13 St John St"," Newtown","NSW",2042,-33.901762,151.179759
"Iberico","Restaurants","169 King St"," Newtown","NSW",2042,-33.893872,151.182696
"Thanh Binh","Restaurants","111 King St"," Newtown","NSW",2042,-33.892867,151.184312
"Al Aseel New Town","Restaurants","189 Missenden Rd"," Newtown","NSW",2042,-33.892861,151.183044
"3 Olives","Restaurants","365 King St"," Newtown","NSW",2042,-33.898873,151.177553
"Indian Home Diner","Restaurants","181 King St"," Newtown","NSW",2042,-33.894166,151.182399
"Tre Viet Restaurant","Restaurants","152-154 King St"," Newtown","NSW",2042,-33.893863,151.183475
"Rowda Ya-Habibi","Restaurants","101 King St"," Newtown","NSW",2042,-33.89275,151.184793
"Tamana's North Indian Diner","Restaurants","196 King St"," Newtown","NSW",2042,-33.894751,151.182525
"Galanga Rice & Noodle Bar","Restaurants","182 King St"," Newtown","NSW",2042,-33.894497,151.182773
"Ichioku Japanese Teppanyaki Restaurant","Restaurants","467 King St"," Newtown","NSW",2042,-33.901729,151.178544
"Asian Dish Pty Ltd","Restaurants","273 King St"," Newtown","NSW",2042,-33.896124,151.180104
"Pasha's Restaurant","Restaurants","490 King St"," Newtown","NSW",2042,-33.901558,151.179031
"Essence Of India","Restaurants","581 King St"," Newtown","NSW",2042,-33.905167,151.180447
"Shaiza's Curry House","Restaurants","121 King St"," Newtown","NSW",2042,-33.892937,151.184019
"The Italian Bowl","Restaurants","255 King St"," Newtown","NSW",2042,-33.895812,151.180706
"Green Gourmet","Restaurants","115 King St"," Newtown","NSW",2042,-33.892893,151.184186
"Mamma Maria Upstairs Restaurant","Restaurants","239a Cnr. King & Church St"," Newtown","NSW",2042,-33.895744,151.181159
"Newtown Thai","Restaurants","177 King St"," Newtown","NSW",2042,-33.894111,151.182484
"Steki Taverna","Restaurants","2 O'connell St"," Newtown","NSW",2042,-33.894,151.182357
"Khao-san Real Thai","Restaurants","528-528a King St"," Newtown","NSW",2042,-33.902541,151.179474
"LilliPilli On King","Restaurants","644 King St"," Newtown","NSW",2042,-33.905467,151.180862
"Thai Times & Nine","Restaurants","45 King St"," Newtown","NSW",2042,-33.892331,151.186403
"Oscillate Wildly","Restaurants","275 Australia St"," Newtown","NSW",2042,-33.897028,151.178325
"Atom Thai Restaurant","Restaurants","130 King St"," Newtown","NSW",2042,-33.893409,151.183964
"Linda'sOn King Restaurant","Restaurants","341 King St"," Newtown","NSW",2042,-33.898272,151.178056
"Trisha's","Restaurants","377 King St"," Newtown","NSW",2042,-33.899182,151.177582
"Cafe Romano","Restaurants","6 King St"," Newtown","NSW",2042,-33.892445,151.187526
"Suan I-San Restaurant","Restaurants","480 King St"," Newtown","NSW",2042,-33.901258,151.178885
"Inca's Restaurant Peruvian Cuisine Woodfired BBQ","Restaurants","92 Enmore Rd"," Newtown","NSW",2042,-33.898962,151.174749
"Peasants Feast Organic Restaurant","Restaurants","121a King St"," Newtown","NSW",2042,-33.892951,151.18398
"Babble-On","Restaurants","463 King St"," Newtown","NSW",2042,-33.901653,151.17851
"Indian Fantasy","Restaurants","121 King St"," Newtown","NSW",2042,-33.892937,151.184019
"Galanga","Restaurants","182 King St"," Newtown","NSW",2042,-33.894497,151.182773
"Giraffe Wrap Bar","Restaurants","Lvl 1/ 124 King St"," Newtown","NSW",2042,-33.893426,151.184106
